Pirgua|EL RUBI|SAN ROQUE|EL ARRAYAN
Baron Gallero||EL CAMPAMENTO VD RUNTA|EL HATICO
Baron Gallero|EL CAMPAMENTO VD RUNTA|LA MANGUITA|EL CANTO
Baron Gallero|||LC 1
Baron Gallero|EL MORTINO|EL PARAISO|SAN JOSE
Baron Gallero|SANTA LUCIA|EL ARRABAL|EL CURUBAL
Chorro Blanco - La Primavera|SAN ALFONSO 2|EL ARRABAL|DE TERRENO
La Cabaña-Runta|SAN CAYETANO|EL RETIRO|SAN CAYETANO
La Lajita|EL CURUBAL|B|LETICIA LA MANA
La Hoya|PTE DE BOYACA||CA DE TEJA
La Hoya||LA VILLA|EL PRADO
La Hoya|LOS ALISOS||EL TESORO
Runta Parte Alta|EL ALTO DEL MORAL|LAS MANITAS|EL ALTO DEL MORAL
Runta Parte Alta|LAS MANITAS|EL ALTO DEL MORAL|LA ALEJANDRIA
Runta Parte Alta|LAS MANITAS|LA CUADRA|LAS MANITAS
Runta Parte Alta|SAN IGNACIO|LAS MANITAS|SAN IGNACIO
La Hoya|EL TUNAL||LA ESPERANZA
La Hoya||LA HOYA|BUENAVISTA O LA ESPERANZA
La Hoya|EL MIRADOR|SAN FRANCISCO|LA LAJITA
La Lajita|LA PALMA||LA PALMA
La Lajita|SAN JOSE|TINJACA|SAN MATEO
La Hoya|PTE DE BOYACA||PTE DE BOYACA
La Hoya|LA VILLA|SAN CAYETANO|LA VILLA
Baron Gallero|EL VOLADOR|SAN JOSE|EL VOLADOR
La Hoya|LA VILLA|EL ARRABAL|LC 6
La Hoya|LA VILLA|EL ARRABAL|LAS PERDICES
La Hoya|LA VILLA||LA LIBERTAD
La Hoya|SAN CAYETANO|LA HOYA|BUENOS AIRES
La Hoya|LA HOYA|LA VIOLETA|CA QUEMADA
La Hoya|EL TUNAL||EL TUNAL
Baron Gallero||EL BANQUITO|BUENAVISTA
Baron Gallero|EL BANQUITO||EL MOHAM
La Hoya|EL ARRABAL|EL ARRABAL|GARAVITO
